name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Pranzegg Campill 2015,Vigneti Delle Dolomiti,Italy,2015,Pranzegg,Red,Unknown,25.02,3.9,,3.219675505038765,9
Michael David Winery Earthquake Cabernet Sauvignon 2019,Lodi,United States,2019,Michael David Winery,Red,Cabernet Sauvignon,19.71,4.3,15.0,2.9811261211646287,5
Mesa Buio 2018,Carignano Del Sulcis,Italy,2018,Mesa,Sparkling,Unknown,18.0,3.6,,2.8903717578961645,6
Endrizzi Teroldego Rotaliano 2018,Teroldego Rotaliano,Italy,2018,Endrizzi,Rose,Teroldego,10.31,3.6,,2.3331142980288684,6
Gerard Bertrand Clos Dora 2015,Other,France,2015,Gerard Bertrand,Red,Unknown,248.46,4.5,,5.515281866785531,9
Chateau Calonsegur Saintestephe De Calonsegur 2014,Saintestephe,France,2014,Chateau Calonsegur,Sparkling,Unknown,31.28,3.6,,3.4429789156771107,10
Occidental Freestoneoccidental Pinot Noir 2017,Sonoma Coast,United States,2017,Occidental,Rose,Pinot Noir,87.06,4.3,,4.466597536124152,7
Chateau Pontetcanet Pauillac Grand Cru Classe 2012,Pauillac,France,2012,Chateau Pontetcanet,Sparkling,Unknown,124.29,4.3,,4.822617544757421,12
Lemos Na Mouche 2019,Dao,Portugal,2019,Lemos,Red,Unknown,20.99,3.8,,3.0440461338325417,5
Zabu Il Passo Nerello Mascalese 2018,Terre Siciliane,Italy,2018,Zabu,White,Nerello Mascalese,8.14,3.7,,2.096790180014449,6
Gran Familia Tinto 2015,Rioja,Spain,2015,Gran Familia,Rose,Unknown,6.29,3.5,,1.8389610707123487,9
Warwick Three Cape Ladies Cape Blend 2016,Stellenbosch,South Africa,2016,Warwick,Red,Blend,18.11,3.8,,2.8964642718953217,8
Morgante Don Antonio Nero Davola Riserva 2016,Sicilia,Italy,2016,Morgante,Rose,Nero Davola,28.1,4.2,,3.3357695763397,8
